SONG,artist_count,views,emotion,tempo,,,,,,,,,,,,,,,,,,,,length_ song
Temple (Spontaneous),3,4000000,1,0,,,,,,,,,,,,,,,,,,,,12:01
Be Praised,3,5000000,1,0,,,,,,,,,,,,,,,,,,,,7:51
The Story I'll tell,1,5000000,1,0,,,,,,,,,,,,,,,,,,,,7:16
To You,3,5000000,1,1,,,,,,,,,,,,,,,,,,,,13:47
Most High (Spontaneous),1,124000,2,0,,,,,,,,,,,,,,,,,,,,3:35
Fresh Fire,2,2000000,3,1,,,,,,,,,,,,,,,,,,,,3:35
Yahweh,2,3000000,3,1,,,,,,,,,,,,,,,,,,,,5:12
Hymn of the Ages,1,2000000,2,0,,,,,,,,,,,,,,,,,,,,8:10
Never leave,2,2000000,3,1,,,,,,,,,,,,,,,,,,,,8:04
Fill the Room,1,5000000,1,0,,,,,,,,,,,,,,,,,,,,8:35
Love Is a Miracle,2,8000000,3,1,,,,,,,,,,,,,,,,,,,,7:30
Man of Your Word,2,29000000,3,1,,,,,,,,,,,,,,,,,,,,9:02
Promises,2,143000000,1,0,,,,,,,,,,,,,,,,,,,,10:46
Thank You,2,8000000,1,0,,,,,,,,,,,,,,,,,,,,7:30
Lean Back,2,6000000,1,0,,,,,,,,,,,,,,,,,,,,15:46
Holy Ghost,2,5000000,3,1,,,,,,,,,,,,,,,,,,,,5:16
Such an Awesome God,2,7000000,1,0,,,,,,,,,,,,,,,,,,,,7:12
Have my Heart,3,19000000,1,1,,,,,,,,,,,,,,,,,,,,12:47
Old Church Basement,7,23000000,3,1,,,,,,,,,,,,,,,,,,,,6:42
Talking to Jesus,1,32000000,2,0,,,,,,,,,,,,,,,,,,,,8:29
Wait on You (reprise),3,72000000,1,0,,,,,,,,,,,,,,,,,,,,4:14
Shall Not Want,6,33000000,3,0,,,,,,,,,,,,,,,,,,,,8:09
Jireh,2,199000000,1,0,,,,,,,,,,,,,,,,,,,,9:58
Million Little Miracles,3,60000000,2,0,,,,,,,,,,,,,,,,,,,,6:45
Come Again,3,9000000,1,0,,,,,,,,,,,,,,,,,,,,9:08
Used to This,2,10000000,1,0,,,,,,,,,,,,,,,,,,,,7:37
Nadie Como Tu,3,2000000,3,1,,,,,,,,,,,,,,,,,,,,5:03
Nada Me Movera,3,1000000,2,0,,,,,,,,,,,,,,,,,,,,8:16
Aleluya,3,3000000,1,0,,,,,,,,,,,,,,,,,,,,9:54
Libertad (spontaneous),3,965000,3,1,,,,,,,,,,,,,,,,,,,,3:25
Me Rindo,2,2000000,1,0,,,,,,,,,,,,,,,,,,,,8:00
Emmanuel,2,2000000,1,0,,,,,,,,,,,,,,,,,,,,16:57
Promesas,2,4000000,1,0,,,,,,,,,,,,,,,,,,,,8:05
Confio en Ti,2,1000000,3,1,,,,,,,,,,,,,,,,,,,,8:21
